Provincia;Nombre del Canton;Nombre de la Parroquia;Hombre;Mujer;Total
;; SAN GREGORIO;3.207;2.708;5.915
;; SAN JOSE DE CHAMANGA;2.390;1.864;4.254
;; Total;15.344;13.130;28.474
;QUININDE                      ; CHURA (CHANCAMA);2.617;2.116;4.733
;; CUBE;4.108;3.482;7.590
;; LA UNION;10.314;9.610;19.924
;; MALIMPIA;9.621;8.151;17.772
;; ROSA ZARATE (QUININDE);34.758;32.501;67.259
;; VICHE;2.723;2.569;5.292
;; Total;64.141;58.429;122.570
;RIOVERDE                      ; CHONTADURO;1.743;1.479;3.222
;; CHUMUNDE;1.905;1.607;3.512
;; LAGARTO;3.049;2.625;5.674
;; MONTALVO;2.106;1.903;4.009
;; RIOVERDE;2.564;2.400;4.964
;; ROCAFUERTE;2.805;2.683;5.488
;; Total;14.172;12.697;26.869
;SAN LORENZO                   ; 5 DE JUNIO;219;197;416
;; ALTO TAMBO;1.001;870;1.871
;; ANCON (PICHANGAL);901;913;1.814
;; CALDERON;330;298;628
;; CARONDELET;898;832;1.730
;; CONCEPCION;1.244;1.110;2.354
;; MATAJE;786;689;1.475
;; SAN JAVIER DE CACHAVI;343;321;664
;; SAN LORENZO;12.462;12.634;25.096
;; SANTA RITA;837;802;1.639
;; TAMBILLO;926;817;1.743
;; TULULBI;1.181;1.114;2.295
;; URBINA;424;337;761
;; Total;21.552;20.934;42.486
;Total;;271.312;262.780;534.092
Guayas;ALFREDO BAQUERIZO MORENO      ; ALFREDO BAQUERIZO MORENO;13.013;12.166;25.179
;; Total;13.013;12.166;25.179
;BALAO                         ; BALAO;10.998;9.525;20.523
;; Total;10.998;9.525;20.523
;BALZAR                        ; BALZAR;28.001;25.936;53.937
;; Total;28.001;25.936;53.937
;COLIMES                       ; COLIMES;9.147;8.160;17.307
;; SAN JACINTO;3.276;2.840;6.116
;; Total;12.423;11.000;23.423
;CORONEL MARCELINO MARIDUEÑA   ; CORONEL MARCELINO MARIDUEÑA;6.265;5.768;12.033
;; Total;6.265;5.768;12.033
;DAULE                         ; DAULE;43.372;44.136;87.508
;; JUAN BAUTISTA AGUIRRE;2.825;2.677;5.502
;; LAUREL;5.093;4.789;9.882
;; LIMONAL;4.497;4.277;8.774
;; LOS LOJAS;4.408;4.252;8.660
;; Total;60.195;60.131;120.326
;DURAN                         ; ELOY ALFARO (DURAN);116.401;119.368;235.769
;; Total;116.401;119.368;235.769
;EL EMPALME                    ; EL ROSARIO;4.730;4.475;9.205
;; GUAYAS (PUEBLO NUEVO);9.313;8.266;17.579
;; VELASCO IBARRA;23.981;23.686;47.667
;; Total;38.024;36.427;74.451
;EL TRIUNFO                    ; EL TRIUNFO;22.824;21.954;44.778
;; Total;22.824;21.954;44.778
;GENERAL ANTONIO ELIZALDE      ; GENERAL ANTONIO ELIZALDE;5.369;5.273;10.642
;; Total;5.369;5.273;10.642
;GUAYAQUIL                     ; GUAYAQUIL;1.127.137;1.164.021;2.291.158
;; JUAN GOMEZ RENDON (PROGR;6.134;5.763;11.897
;; MORRO;2.701;2.318;5.019
;; POSORJA;12.269;11.867;24.136
;; PUNA;3.640;3.129;6.769
;; TENGUEL;6.340;5.596;11.936
;; Total;1.158.221;1.192.694;2.350.915
